,,,,,,,,,,,,,,,,,spch snapshot images,,,,,,,,,,,,,,
Age (HAS),DAS,DAS-1,WT Leaf Length (mm),WT Leaf Width (mm),Ln Leaf Width (WT),WT Logistic width,Ln Logistoc width,WT Logistic Length,,Age (HAS),fama Leaf Width (mm),Ln fama leaf width ,Aw,kw,PSTmw,y0w,Age (HAS),Leaf Width (mm),Ln Leaf Width (spch),Blade Length,Blade + Petiole length,Series Name,Date Moved to CER,Time moved to CER,Date Imaged,Time imaged,age at imaging (DAS),DAS-1,Age (HAS),3002_PA Leaf Width,elapsed time (h)
119.05,4.960416667,3.960416667,,0.089,-2.42,0.139353681,-1.970740109,0.16920741,,359.25,0.563722,-0.573194057,,,,,146.78,0.10,-2.28,0.14,0.16,TL08,06/06/2012,16:30:00,19/06/2012,10:36:00,13,12,306.10,,166:46:00
120.8833333,5.036805556,4.036805556,,0.134,-2.01,0.144432866,-1.934940478,0.175726073,,359.25,0.628275,-0.46477731,,,,,147.30,0.10,-2.35,-,0.16,,,,,,,,,,
122.1666667,5.090277778,4.090277778,,0.076,-2.58,0.148095275,-1.909899464,0.180435112,,359.25,0.768175,-0.263737707,,,,,147.88,0.09,-2.45,-,0.15,,,,,,,,,,
123.0666667,5.127777778,4.127777778,,0.123,-2.10,0.150717558,-1.892347672,0.183811156,,359.25,0.832748,-0.183024204,,,,,148.08,0.12,-2.11,-,0.16,Series Name,Date Moved to CER,Time moved to CER,Date Imaged,Time imaged,age at imaging (DAS),DAS-1,Age (HAS),3289 Lamina length (mm),3289_2D leaf width
146.87,6.119444444,5.119444444,0.27,0.20,-1.61,0.238939455,-1.431545086,0.299238679,,359.25,0.669963,-0.400532792,,,,,148.28,0.11,-2.21,0.15,0.18,TL00,23/05/2013,18:00:00,29/05/2013,14:45:00,6,5,140.75,0.155,0.093
147.38,6.140972222,5.140972222,0.37,0.28,-1.28,0.241321476,-1.421625308,0.302399185,,359.25,0.849209,-0.163449951,,,,,150.05,0.13,-2.02,-,0.20,TL01,23/05/2013,18:00:00,29/05/2013,16:50:00,6,5,142.83,,
147.62,6.150694444,5.150694444,0.35,0.21,-1.56,0.242404671,-1.417146757,0.30383707,,456.00,0.486043,-0.721458182,,,,,150.30,0.08,-2.50,-,0.12,TL02_T00,23/05/2013,18:00:00,29/05/2013,18:29:00,6,5,144.48,,
148.02,6.167361111,5.167361111,0.43,0.31,-1.17,0.244272419,-1.409471207,0.30631741,,456.00,0.80595,-0.215733573,,,,,150.47,0.12,-2.10,-,0.19,TL02_T01,23/05/2013,18:00:00,29/05/2013,20:29:00,6,5,146.48,,
148.22,6.175694444,5.175694444,0.32,0.22,-1.50,0.245211453,-1.405634368,0.307564909,,456.00,0.762332,-0.271373123,,,,,150.73,0.13,-2.05,-,0.17,TL02_T02,23/05/2013,18:00:00,29/05/2013,22:29:00,6,5,148.48,,
148.30,6.179166667,5.179166667,0.19,0.16,-1.83,0.245603736,-1.40403587,0.308086149,,383.17,0.862079,-0.148408365,,,,,151.18,0.14,-1.97,-,0.18,TL02_T03,23/05/2013,18:00:00,30/05/2013,00:29:00,7,6,150.48,,
148.30,6.179166667,5.179166667,0.44,0.25,-1.38,0.245603736,-1.40403587,0.308086149,,383.17,0.905037,-0.099779452,,,,,167.95,0.13,-2.02,0.16,0.20,TL02_T04,23/05/2013,18:00:00,30/05/2013,02:29:00,7,6,152.48,0.208,0.122
