realtime,LeafArea,LeafWidth,LeafLength,late,plam,numberOfCells,meanCellArea,numberOfCellInCDIV,meanCellAreaInCDIV,cellAreaInCDIV,numberOfCellOutCDIV,meanCellAreaOutCDIV,cellAreaOutCDIV
170,0.32766,0.5504,0.60727,0.1056,0.0235,1528,0.00021402,1069,0.00013264,0.14179,459,0.00040356,0.18524
171,0.34294,0.56467,0.62018,0.1104,0.0235,1570,0.00021804,1084,0.00013259,0.14373,486,0.00040864,0.1986
172,0.35909,0.57904,0.63391,0.1152,0.0235,1624,0.00022066,1121,0.00013155,0.14746,503,0.00041925,0.21088
173,0.37588,0.59393,0.64754,0.12,0.0235,1678,0.00022359,1148,0.00013122,0.15065,530,0.00042365,0.22453
174,0.39335,0.60926,0.66117,0.1248,0.0235,1728,0.0002272,1192,0.00013146,0.1567,536,0.00044014,0.23591
175,0.41151,0.62502,0.67485,0.1296,0.0235,1785,0.00023006,1222,0.00013061,0.15961,563,0.00044592,0.25105
176,0.43042,0.64122,0.68858,0.1344,0.0235,1829,0.0002349,1243,0.00013177,0.16379,586,0.00045365,0.26584
177,0.45043,0.65759,0.70325,0.1392,0.0235,1881,0.00023901,1278,0.00013198,0.16866,603,0.00046586,0.28092
178,0.47125,0.67451,0.71784,0.144,0.0235,1938,0.00024271,1311,0.00013185,0.17285,627,0.00047451,0.29752
179,0.4929,0.69194,0.73245,0.1488,0.0235,1999,0.00024605,1347,0.00013068,0.17603,652,0.00048438,0.31582
180,0.51542,0.70995,0.7471,0.1536,0.0235,2064,0.0002492,1397,0.00013072,0.18262,667,0.00049735,0.33173
181,0.53886,0.72843,0.76182,0.1584,0.0235,2123,0.00025329,1436,0.00013077,0.18778,687,0.0005094,0.34996
182,0.56363,0.74711,0.7774,0.1632,0.0235,2183,0.00025763,1470,0.00013088,0.1924,713,0.00051895,0.37001
183,0.58937,0.76628,0.79299,0.168,0.0235,2239,0.00026271,1509,0.00013162,0.19861,730,0.00053368,0.38959
184,0.61617,0.786,0.8086,0.1728,0.0235,2296,0.00026785,0,NaN,0,2296,0.00026785,0.61499
185,0.64405,0.80625,0.82427,0.1776,0.0235,2296,0.00028027,0,NaN,0,2296,0.00028027,0.64349
186,0.67341,0.82678,0.84067,0.1824,0.0235,2296,0.00029304,0,NaN,0,2296,0.00029304,0.67282
187,0.70394,0.84797,0.85709,0.1872,0.0235,2296,0.00030631,0,NaN,0,2296,0.00030631,0.70329
188,0.73571,0.86979,0.87354,0.192,0.0235,2296,0.00032013,0,NaN,0,2296,0.00032013,0.73502
189,0.76877,0.89219,0.89004,0.1968,0.0235,2296,0.00033451,0,NaN,0,2296,0.00033451,0.76803
190,0.80358,0.91492,0.9073,0.20166,0.0235,2296,0.00034964,0,NaN,0,2296,0.00034964,0.80278
191,0.83918,0.93777,0.92456,0.20664,0.0235,2296,0.00036512,0,NaN,0,2296,0.00036512,0.83832
192,0.8756,0.9607,0.94182,0.21174,0.0235,2296,0.00038096,0,NaN,0,2296,0.00038096,0.87468
193,0.91317,0.98344,0.95968,0.21697,0.0235,2296,0.00039729,0,NaN,0,2296,0.00039729,0.91219
194,0.95153,1.0062,0.97754,0.22232,0.0235,2296,0.00041397,0,NaN,0,2296,0.00041397,0.95048
195,0.99066,1.0288,0.99538,0.22781,0.0235,2296,0.00043099,0,NaN,0,2296,0.00043099,0.98955
