,,,,,,,,,,,,
Age (HAS),DAS,DAS-1,WT Leaf Length (mm),WT Leaf Width (mm),Ln Leaf Width (WT),WT Logistic width,Ln Logistoc width,WT Logistic Length,,Age (HAS),fama Leaf Width (mm),Ln fama leaf width 
485.85,20.24375,19.24375,7.96,4.80,1.57,5.839951363,1.764722469,9.269188555,,,,
485.98,20.24930556,19.24930556,7.51,4.07,1.40,5.840366251,1.764793509,9.269818286,,,,
486.03,20.25138889,19.25138889,7.57,4.38,1.48,5.840521564,1.764820102,9.270054003,,,,
486.07,20.25277778,19.25277778,7.53,4.06,1.40,5.840625025,1.764837816,9.270211017,,,,
486.12,20.25486111,19.25486111,7.13,4.68,1.54,5.840780093,1.764864365,9.270446342,,,,
486.17,20.25694444,19.25694444,8.20,4.74,1.56,5.840935014,1.764890889,9.270681432,,,,
486.22,20.25902778,19.25902778,9.82,5.84,1.76,5.841089789,1.764917387,9.270916286,,,,
529.03,22.04305556,21.04305556,8.93,5.46,1.70,5.931463965,1.780271057,9.405429798,,,,
529.07,22.04444444,21.04444444,8.44,5.84,1.76,5.931509119,1.780278669,9.405495315,,,,
529.10,22.04583333,21.04583333,6.91,4.41,1.48,5.931554243,1.780286277,9.405560788,,,,
529.17,22.04861111,21.04861111,10.73,7.06,1.95,5.931644405,1.780301477,9.405691599,,,,
529.17,22.04861111,21.04861111,9.30,6.21,1.83,5.931644405,1.780301477,9.405691599,,,,
529.22,22.05069444,21.05069444,9.18,5.85,1.77,5.931711949,1.780312864,9.405789589,,,,
529.25,22.05208333,21.05208333,7.24,5.20,1.65,5.931756941,1.780320449,9.40585486,,,,
529.30,22.05416667,21.05416667,8.19,5.49,1.70,5.931824375,1.780331817,9.405952683,,,,
529.33,22.05555556,21.05555556,10.81,6.43,1.86,5.931869294,1.78033939,9.406017842,,,,
529.38,22.05763889,21.05763889,9.70,5.88,1.77,5.931936619,1.78035074,9.406115496,,,,
555.67,23.15277778,22.15277778,8.69,5.49,1.70,5.959576096,1.784999354,9.445711301,,,,
555.70,23.15416667,22.15416667,8.87,5.97,1.79,5.959602855,1.785003844,9.445749073,,,,
555.75,23.15625,22.15625,8.73,5.39,1.68,5.95964296,1.785010573,9.445805681,,,,
555.77,23.15694444,22.15694444,9.83,6.29,1.84,5.95965632,1.785012815,9.445824538,,,,
555.80,23.15833333,22.15833333,9.73,5.85,1.77,5.959683026,1.785017296,9.445862232,,,,
555.83,23.15972222,22.15972222,8.57,5.57,1.72,5.959709714,1.785021774,9.445899899,,,,
