csvFile,Image1,Image2,Time1,Time2,BladeLength1,BladeLength2,BladeWidth1,BladeWidth2,Cell,IsMID,CentroX,CentroY,Area,karea,kx,ky,AreaAtDiv,Cell_Cycle_Duration,HasDivided,IsCompetent,DivisionClass,CompetenceClass,Identity,StomatalLineage,WARNING_Imprecise_ID,WARNING_Imprecise_CCD,WARNING_Imprecise_AAD
tracking_samJan17.csv,TL01_median.png,TL09_T03_median_flip.png,0,11.8833,207.1054912,269.9435162,150.7484244,199.3647687,Cell 90,FALSE,-30.53201873,98.52160128,167.57,0.032746439,0.010628562,0.021679627,209.8556754,NA,TRUE,FALSE,1,NA,PC,FALSE,FALSE,FALSE,FALSE
tracking_samJan17.csv,TL01_median.png,TL09_T03_median_flip.png,0,11.8833,207.1054912,269.9435162,150.7484244,199.3647687,Cell 91,FALSE,-26.14347094,104.0836574,63.33,0.050661356,0.025461073,0.022557598,85.80358088,NA,TRUE,TRUE,2,2,MMC_or_MM,TRUE,FALSE,FALSE,FALSE
tracking_samJan17.csv,TL01_median.png,TL09_T03_median_flip.png,0,11.8833,207.1054912,269.9435162,150.7484244,199.3647687,Cell 102,FALSE,-0.13314899,143.7466182,95.51,0.034876882,0.009391947,0.025341143,NA,NA,FALSE,FALSE,NA,NA,PC,FALSE,FALSE,FALSE,FALSE
tracking_samJan17.csv,TL01_median.png,TL09_T03_median_flip.png,0,11.8833,207.1054912,269.9435162,150.7484244,199.3647687,Cell 103,FALSE,1.44385595,132.6175519,79.74,0.037044232,0.012440111,0.026614803,NA,NA,FALSE,FALSE,NA,NA,PC,FALSE,FALSE,FALSE,FALSE
tracking_samJan17.csv,TL01_median.png,TL09_T03_median_flip.png,0,11.8833,207.1054912,269.9435162,150.7484244,199.3647687,Cell 104,FALSE,7.55577681,120.6193713,111.44,0.029613559,0.005018481,0.023449676,NA,NA,FALSE,TRUE,NA,2,MMC_or_MM,TRUE,FALSE,FALSE,FALSE
tracking_samJan17.csv,TL01_median.png,TL09_T03_median_flip.png,0,11.8833,207.1054912,269.9435162,150.7484244,199.3647687,Cell 105,TRUE,8.24752655,107.814579,137.08,0.030603839,0.004605666,0.02682122,NA,NA,FALSE,TRUE,NA,1,PC,FALSE,FALSE,FALSE,FALSE
tracking_samJan17.csv,TL01_median.png,TL09_T03_median_flip.png,0,11.8833,207.1054912,269.9435162,150.7484244,199.3647687,Cell 106,TRUE,8.30865311,92.54797192,177.74,0.025771852,0.001449698,0.024286696,NA,NA,FALSE,TRUE,NA,1,PC,FALSE,FALSE,FALSE,FALSE
tracking_samJan17.csv,TL01_median.png,TL09_T03_median_flip.png,0,11.8833,207.1054912,269.9435162,150.7484244,199.3647687,Cell 107,FALSE,10.64026565,125.9378377,38.41,0.044335841,0.019821854,0.021390563,58.21283252,NA,TRUE,TRUE,2,2,MMC_or_MM,TRUE,FALSE,FALSE,FALSE
tracking_samJan17.csv,TL01_median.png,TL09_T03_median_flip.png,0,11.8833,207.1054912,269.9435162,150.7484244,199.3647687,Cell 108,FALSE,7.50213125,132.7673888,41.81,0.052105026,0.025965292,0.024350069,56.11382326,NA,TRUE,TRUE,2,2,MMC_or_MM,TRUE,FALSE,FALSE,FALSE
tracking_samJan17.csv,TL01_median.png,TL09_T03_median_flip.png,0,11.8833,207.1054912,269.9435162,150.7484244,199.3647687,Cell 127,TRUE,-31.81901703,63.024489,176.22,0.043550245,0.012231861,0.030677579,203.793408,NA,TRUE,TRUE,1,1,PC,FALSE,FALSE,FALSE,FALSE
tracking_samJan17.csv,TL01_median.png,TL09_T03_median_flip.png,0,11.8833,207.1054912,269.9435162,150.7484244,199.3647687,Cell 128,TRUE,-19.2203234,38.9309955,153.63,0.028557871,0.004024131,0.024115703,173.718432,NA,TRUE,FALSE,1,NA,PC,FALSE,FALSE,FALSE,FALSE
tracking_samJan17.csv,TL01_median.png,TL09_T03_median_flip.png,0,11.8833,207.1054912,269.9435162,150.7484244,199.3647687,Cell 129,TRUE,-26.19930517,29.34844688,131.07,0.040281783,0.014004159,0.024433158,144.62064,NA,TRUE,TRUE,1,1,PC,FALSE,FALSE,FALSE,FALSE
tracking_samJan17.csv,TL01_median.png,TL09_T03_median_flip.png,0,11.8833,207.1054912,269.9435162,150.7484244,199.3647687,Cell 130,TRUE,-14.70185772,19.07458693,177.46,0.032280034,0.012479021,0.018666807,NA,NA,FALSE,TRUE,NA,1,PC,FALSE,FALSE,FALSE,FALSE
tracking_samJan17.csv,TL01_median.png,TL09_T03_median_flip.png,0,11.8833,207.1054912,269.9435162,150.7484244,199.3647687,Cell 131,FALSE,-32.75304192,78.15560716,42.02,0.069815651,0.046175903,0.022886194,69.159744,NA,TRUE,TRUE,2,2,MMC_or_MM,TRUE,FALSE,FALSE,FALSE
tracking_samJan17.csv,TL01_median.png,TL09_T03_median_flip.png,0,11.8833,207.1054912,269.9435162,150.7484244,199.3647687,Cell 132,FALSE,-33.19572531,88.22370877,55.68,0.05474177,0.026364391,0.02733816,78.781248,NA,TRUE,TRUE,2,1,MMC_or_MM,TRUE,FALSE,FALSE,FALSE
tracking_samJan17.csv,TL01_median.png,TL09_T03_median_flip.png,0,11.8833,207.1054912,269.9435162,150.7484244,199.3647687,Cell 133,FALSE,-38.12162419,78.27306257,98.24,0.035426234,0.010764326,0.025219626,NA,NA,FALSE,TRUE,NA,1,PC,FALSE,FALSE,FALSE,FALSE
tracking_samJan17.csv,TL01_median.png,TL09_T03_median_flip.png,0,11.8833,207.1054912,269.9435162,150.7484244,199.3647687,Cell 134,FALSE,-38.72020026,88.01722261,19.14,0.085040634,0.035333574,0.045733232,46.31904,NA,TRUE,TRUE,2,3,MMC_or_MM,TRUE,FALSE,FALSE,FALSE
tracking_samJan17.csv,TL01_median.png,TL09_T03_median_flip.png,0,11.8833,207.1054912,269.9435162,150.7484244,199.3647687,Cell 135,FALSE,-38.21207866,93.85206404,57.28,0.047029158,0.028696617,0.019353466,NA,NA,FALSE,TRUE,NA,1,PC,FALSE,FALSE,FALSE,FALSE
tracking_samJan17.csv,TL01_median.png,TL09_T03_median_flip.png,0,11.8833,207.1054912,269.9435162,150.7484244,199.3647687,Cell 136,TRUE,-31.95466071,30.16018039,101.99,0.052036779,0.021126458,0.028771586,141.398784,NA,TRUE,TRUE,1,1,PC,FALSE,FALSE,FALSE,FALSE
tracking_samJan17.csv,TL01_median.png,TL09_T03_median_flip.png,0,11.8833,207.1054912,269.9435162,150.7484244,199.3647687,Cell 137,TRUE,-21.24435741,18.65921331,136.09,0.038769129,0.016155912,0.021027668,210.49632,NA,TRUE,TRUE,1,1,PC,FALSE,FALSE,FALSE,FALSE
tracking_samJan17.csv,TL01_median.png,TL09_T03_median_flip.png,0,11.8833,207.1054912,269.9435162,150.7484244,199.3647687,Cell 186,TRUE,6.9023789,32.72360591,189.17,0.025113715,-0.000248341,0.024707321,187.6608,NA,TRUE,FALSE,1,NA,PC,FALSE,FALSE,FALSE,FALSE
tracking_samJan17.csv,TL01_median.png,TL09_T03_median_flip.png,0,11.8833,207.1054912,269.9435162,150.7484244,199.3647687,Cell 187,TRUE,0.97345352,12.3241539,130.36,0.047402668,0.027949474,0.019329199,198.319104,NA,TRUE,FALSE,1,NA,PC,FALSE,FALSE,FALSE,FALSE
tracking_samJan17.csv,TL01_median.png,TL09_T03_median_flip.png,0,11.8833,207.1054912,269.9435162,150.7484244,199.3647687,Cell 188,TRUE,7.89752958,49.4100908,234.79,0.023620393,0.000139787,0.023236227,243.876096,NA,TRUE,TRUE,1,1,PC,FALSE,FALSE,FALSE,FALSE
tracking_samJan17.csv,TL01_median.png,TL09_T03_median_flip.png,0,11.8833,207.1054912,269.9435162,150.7484244,199.3647687,Cell 189,TRUE,3.84106996,62.68312134,121.45,0.035420249,0.01067785,0.023541532,155.634048,NA,TRUE,FALSE,1,NA,PC,FALSE,FALSE,FALSE,FALSE
